Condor_ID	Timestamp	X	Y	Z	Contiguous time?
269	3/5/2007 13:00	637084.9375	3436270.0000	2470	
269	3/6/2007 14:00	640843.3750	3435949.7500	2434	NA
269	3/6/2007 15:00	640843.3750	3435949.7500	2434	
269	3/6/2007 16:00	640843.3750	3435949.7500	2434	
269	3/6/2007 17:00	640903.8750	3434989.7500	2400	
269	3/6/2007 18:00	640887.7500	3435008.0000	2340	
269	3/6/2007 19:00	640871.8125	3435007.7500	2330	
269	3/6/2007 20:00	640887.7500	3435008.0000	2330	
269	3/7/2007 5:00	640871.5625	3435026.2500	2310	NA
269	3/7/2007 6:00	640871.5625	3435026.2500	2310	
269	3/7/2007 7:00	640887.5000	3435026.5000	2330	
269	3/7/2007 8:00	640871.5625	3435026.2500	2330	
269	3/7/2007 9:00	640940.3125	3435840.2500	2399	
269	3/7/2007 10:00	640843.3750	3435949.7500	2430	
269	3/7/2007 11:00	640843.3750	3435949.7500	2430	
269	3/7/2007 12:00	640843.3750	3435949.7500	2434	
269	3/7/2007 13:00	640843.3750	3435949.7500	2434	
269	3/7/2007 15:00	640967.9375	3436154.5000	2460	NA
269	3/7/2007 16:00	640859.5625	3435931.5000	2460	
269	3/7/2007 17:00	640843.3750	3435949.7500	2434	
269	3/7/2007 18:00	640887.7500	3435008.0000	2310	
269	3/7/2007 19:00	640903.3750	3435026.7500	2320	
269	3/7/2007 20:00	640887.7500	3435008.0000	2320	
269	3/8/2007 5:00	640887.7500	3435008.0000	2320	NA
269	3/8/2007 6:00	640903.6250	3435008.2500	2320	
269	3/8/2007 7:00	640903.6250	3435008.2500	2320	
269	3/8/2007 8:00	640887.7500	3435008.0000	2300	
269	3/8/2007 9:00	640903.8750	3434989.7500	2319	
269	3/8/2007 12:00	640763.8750	3435948.7500	2430	NA
269	3/8/2007 13:00	645886.5625	3434780.0000	2640	
269	3/8/2007 14:00	677962.0625	3442551.2500	1650	
269	3/8/2007 15:00	686710.4375	3433424.2500	1530	
269	3/8/2007 16:00	656403.5000	3435872.2500	1620	
269	3/8/2007 17:00	659748.0625	3435645.0000	1590	
269	3/8/2007 18:00	659890.0625	3435721.0000	1280	
269	3/8/2007 19:00	659905.6875	3435739.7500	1230	
269	3/8/2007 20:00	659890.0625	3435721.0000	1300	
269	3/9/2007 5:00	659906.0000	3435721.2500	1270	NA
269	3/9/2007 6:00	659905.6875	3435739.7500	1270	
269	3/9/2007 7:00	659906.2500	3435702.7500	1259	
269	3/9/2007 8:00	656217.6250	3436608.7500	1220	
269	3/9/2007 9:00	655438.7500	3437650.5000	1210	
269	3/9/2007 10:00	655267.5625	3437389.2500	1310	
269	3/9/2007 11:00	638592.0625	3435365.7500	2660	
269	3/9/2007 13:00	648154.3750	3427328.0000	2990	NA
269	3/9/2007 14:00	661134.7500	3435481.2500	1690	
269	3/9/2007 15:00	657548.2500	3442338.2500	1300	
269	3/9/2007 16:00	650150.5000	3442637.2500	2010	
269	3/9/2007 17:00	656815.6875	3435970.7500	1495	
269	3/9/2007 19:00	656482.5000	3435910.5000	1519	NA
269	3/9/2007 20:00	656482.5000	3435910.5000	1519	
269	3/10/2007 8:00	656654.7500	3436097.7500	1480	NA
269	3/10/2007 10:00	656909.7500	3436064.5000	1427	NA
