Condor_ID,Timestamp,X,Y,Z,obsVarXY,obsVarZ,moveVarXY,moveVarZ
269,2/11/2007 16:00,656690.0625,3435858,1710,25,89,500,120
269,2/11/2007 17:00,656673.9375,3435876.25,1580,25,89,500,120
269,2/11/2007 18:00,656498.6875,3435892.25,1570,25,89,500,120
269,2/11/2007 19:00,656498.125,3435929,1560,25,89,500,120
269,2/11/2007 20:00,656466.5625,3435910.25,1560,25,89,500,120
269,2/12/2007 5:00,656498.125,3435929,1490,25,89,500,120
269,2/12/2007 6:00,656466.875,3435891.75,1553,25,89,500,120
269,2/12/2007 7:00,657003.3125,3436195.25,1380,25,89,500,120
269,2/12/2007 8:00,657302.75,3436384.5,1360,25,89,500,120
269,2/12/2007 9:00,657303.0625,3436366,1350,25,89,500,120
269,2/12/2007 10:00,654737.875,3438804.5,1320,25,89,500,120
269,2/12/2007 12:00,646731.375,3441554.5,2214,25,89,500,120
269,2/13/2007 16:00,640600.625,3436260.5,2490,25,89,500,120
269,2/13/2007 18:00,656482.5,3435910.5,1510,25,89,500,120
269,2/13/2007 19:00,656482.5,3435910.5,1520,25,89,500,120
269,2/13/2007 20:00,656482.5,3435910.5,1520,25,89,500,120
269,2/14/2007 5:00,656482.5,3435910.5,1520,25,89,500,120
269,2/14/2007 6:00,656498.125,3435929,1520,25,89,500,120
269,2/14/2007 8:00,656990.6875,3435973.25,1510,25,89,500,120
269,2/14/2007 9:00,656468.5,3435780.75,1619,25,89,500,120
269,2/14/2007 10:00,656451.75,3435836,1606,25,89,500,120
269,2/14/2007 11:00,646066.5,3441342,2500,25,89,500,120
269,2/14/2007 12:00,656625.375,3435931,1560,25,89,500,120
269,2/14/2007 13:00,656482.75,3435892,1543,25,89,500,120
269,2/14/2007 14:00,640378.25,3435038.25,2950,25,89,500,120
269,2/15/2007 10:00,635891.375,3436310,2380,25,89,500,120
269,2/15/2007 15:00,636289.9375,3436241.25,2500,25,89,500,120
269,2/16/2007 10:00,635532.5625,3438245.5,2040,25,89,500,120
269,2/16/2007 11:00,642080.375,3432677.25,2820,25,89,500,120
269,2/16/2007 14:00,646749.4375,3435660.25,2850,25,89,500,120
269,2/16/2007 15:00,651906.8125,3439909,1920,25,89,500,120
269,2/16/2007 16:00,656562,3435911.5,1910,25,89,500,120
269,2/16/2007 17:00,656940.75,3436120.5,1400,25,89,500,120
269,2/16/2007 18:00,656498.125,3435929,1485,25,89,500,120
269,2/16/2007 19:00,656672,3436005.5,1458,25,89,500,120
269,2/16/2007 20:00,656687.625,3436024.25,1445,25,89,500,120
269,2/17/2007 5:00,656687.625,3436024.25,1445,25,89,500,120
269,2/17/2007 7:00,656687.375,3436042.75,1420,25,89,500,120
269,2/17/2007 8:00,656670.875,3436079.5,1430,25,89,500,120
269,2/17/2007 9:00,656719.4375,3436024.75,1449,25,89,500,120
269,2/17/2007 10:00,657020,3436140,1430,25,89,500,120
269,2/17/2007 12:00,656957.75,3436046.75,1454,25,89,500,120
269,2/17/2007 13:00,656834.3125,3435786.25,1680,25,89,500,120
269,2/17/2007 14:00,656723.375,3437909.75,1100,25,89,500,120
269,2/17/2007 15:00,657065,3437397.25,1630,25,89,500,120
269,2/17/2007 16:00,658078.3125,3436654.75,1280,25,89,500,120
269,2/17/2007 17:00,656687.375,3436042.75,1430,25,89,500,120
269,2/17/2007 18:00,656639.125,3436079,1384,25,89,500,120
269,2/17/2007 19:00,656623.1875,3436078.75,1380,25,89,500,120
269,2/17/2007 20:00,656639.375,3436060.5,1398,25,89,500,120
269,2/18/2007 5:00,656607.3125,3436078.5,1374,25,89,500,120
269,2/18/2007 6:00,656623.1875,3436078.75,1390,25,89,500,120
269,2/18/2007 8:00,656639.375,3436060.5,1398,25,89,500,120
269,2/18/2007 10:00,648427.875,3437365.25,2197,25,89,500,120
269,2/18/2007 12:00,641158.3125,3436194,2540,25,89,500,120
269,2/18/2007 13:00,642557.6875,3435048.75,2770,25,89,500,120
269,2/18/2007 14:00,640827.25,3435968,2426,25,89,500,120
269,2/18/2007 15:00,640843.375,3435949.75,2430,25,89,500,120
